email, priority, justification
shackleton-s_sent_702, 3, "This email is a follow-up on previous discussions and does not indicate an urgent need for a response."
shackleton-s_sent_items_630, 3, "This email is a routine request for information and does not indicate urgency."
shackleton-s_sent_items_634, 1, "The email contains an attachment marked as urgent and requires immediate attention."
shankman-j_all_documents_223, 4, "This email is a casual check-in and does not require immediate action or response."
shankman-j_all_documents_641, 4, "This email is about a holiday party and a gallery talk, which are not urgent or directly related to immediate work needs."
shankman-j_all_documents_877, 4, "This email is a casual conversation between colleagues discussing personal plans and interests."
shankman-j_all_documents_896, 4, "This email is a casual conversation about scheduling a meeting and discussing personal experiences, with no immediate action required."
shankman-j_discussion_threads_257, 4, "This email is about a holiday party and a gallery talk, which are not urgent or directly related to immediate work needs."
shankman-j_discussion_threads_458, 4, "This email is a casual check-in and does not require immediate action."
shankman-j_sent_160, 4, "This email is a casual check-in and does not require immediate action."
shankman-j_sent_772, 4, "This email is a casual conversation between colleagues discussing personal plans and interests."
shankman-j_sent_791, 4, "This email is a casual conversation about scheduling a meeting and does not require immediate action."
shapiro-r_all_documents_1813, 1, "The email mentions a presentation that must be delivered first thing Monday morning, and the sender requests input on a key subject."
shapiro-r_all_documents_252, 2, "The email requests a review of a draft article and asks for comments by Monday, April 2, indicating a time-sensitive deadline."
shapiro-r_all_documents_254, 2, "The email discusses an emergency request and a recent court ruling that impacts the ICAP charge, requiring the recipients to be informed and possibly take action."
shapiro-r_all_documents_726, 1, "The email discusses an emergency authority memo and requires immediate attention."
shapiro-r_deleted_items_247, 1, "The email explicitly mentions 'urgent' and 'immediate attention' and requires immediate action to disable charging rights."
shapiro-r_deleted_items_898, 4, "This is an out of office notification with no immediate action required."
shapiro-r_discussion_threads_1612, 1, "The email mentions a presentation that must be delivered first thing Monday morning, requiring immediate action and input from the recipients."
shapiro-r_discussion_threads_223, 2, "The email requests a review of a draft article and asks for comments by Monday, April 2, indicating a time-sensitive deadline."
shapiro-r_discussion_threads_653, 1, "The email discusses an emergency authority memo and requires immediate attention."
shapiro-r_discussion_threads_707, 3, "The email discusses proposed modifications and upcoming meetings, but does not indicate an immediate need for action or response."
shapiro-r_florida_3, 2, "The email requests a review of a draft article and asks for comments by Monday, April 2, indicating a time-sensitive deadline."
skilling-j_discussion_threads_1116, 4, "The email is an update on a non-urgent issue and does not require immediate action."
skilling-j_inbox_22, 2, "The email mentions a short notice opportunity and asks for an ASAP response if interested."
skilling-j_inbox_269, 4, "The email is an apology for a previous email and informs that the issue has been resolved."
skilling-j_inbox_911, 4, "This email is a casual check-in and social invitation related to work."
skilling-j__sent_mail_71, 1, "The subject line contains 'URGENT' and the email is discussing a mid-year process."
slinger-r_deleted_items_92, 1, "This email warns of an immediate threat of a virus circulating within the company's email system and requires immediate action to prevent potential damage."
slinger-r_sent_items_39, 3, "This email discusses a new transmission idea and provides a potential solution, but does not indicate urgency or immediate action required."
smith-m_inbox_154, 1, "The email mentions a bill that is set for debate today and requires immediate action from the recipient to call their state representative."
smith-m_inbox_7, 3, "This email is an update on a change made to the pipelines in the database and does not require immediate action."
solberg-g_deleted_items_240, 3, "This email provides information about a weekend outage report, but does not require immediate action or response."
solberg-g_deleted_items_641, 2, "The email requests the recipient to enter test deals on Saturday after the databases are back up, which is a time-sensitive task."
solberg-g_inbox_86, 1, "The email mentions an imminent deadline (Tuesday, 5th February) and states that employment cannot commence until the drug test is completed."
solberg-g_sent_items_15, 2, "The email mentions urgency and a need for action, but the sender is offering to pick up the certificate on Monday, suggesting a same-day or 24-hour response is appropriate."
steffes-j_california_issues_36, 3, "The email discusses a proposal and asks for thoughts, but does not mention any urgent deadlines or immediate action required."
steffes-j_deleted_items_612, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
steffes-j_sent_items_1540, 4, "This email is a casual check-in about vacation plans and provides contact information in case of urgent matters."
steffes-j_sent_items_629, 4, "The email is a non-urgent update about a personal situation and does not require immediate action."
stokley-c_chris_stokley_iso_mrkt_info_108, 1, "The email mentions emergency events and rescheduling of a meeting due to uncertainty for availability of key personnel."
stokley-c_chris_stokley_iso_mrkt_info_3, 3, "This email is an update on a new or revised operating procedure and provides a link to the ISO website for reference, but does not require immediate action."
stokley-c_chris_stokley_projects_ees__metering_and_forcasting_2, 2, "The email discusses rescheduling a meeting due to an emergency task force and asks for availability within the next two days."
stokley-c_chris_stokley_projects_ees__neil_b__12, 3, "This email is an update on an ongoing project and does not indicate any urgency or immediate action required."
stokley-c_chris_stokley_sent_122, 2, "The email discusses rescheduling a meeting and asks for the recipients' availability."
stokley-c_chris_stokley_sent_142, 2, "The email discusses a solution for accessing MV90 data and suggests creating an emergency work request, indicating a need for a timely response."
stokley-c_chris_stokley_volume_mang__100, 3, "This email is a routine business inquiry and clarification on a new order, with no explicit urgency mentioned."
stokley-c_chris_stokley_volume_mang__70, 4, "The email is a casual update about the sender's preference for communication during the week, with no immediate action required."
symes-k_all_documents_20, 2, "The email requests an action to be taken (printing, signing, and sending a letter), but there is no explicit mention of a deadline or immediate urgency."
symes-k_all_documents_3634, 4, "This email is informing about a temporary change in contact information and voice mail outage, but it is not urgent or time-sensitive."
symes-k_discussion_threads_3487, 4, "This email informs about a temporary voice mail outage and provides alternative contact information, but it is not urgent or time-sensitive."
symes-k_rainy_day_14, 2, "The email contains a request to print and send a letter, but there is no explicit mention of a deadline or immediate consequences."
symes-k_sent_12, 4, "The email explicitly states that it is not an urgent matter and to respond whenever the recipient has time."
symes-k_sent_1264, 3, "This email is an update on the voice mail system being down and provides alternative contact information."
symes-k__sent_mail_1202, 4, "The sender explicitly mentions that this is not an urgent request and can be attended to whenever the recipient has a free moment."
symes-k__sent_mail_1313, 4, "The email explicitly states that it is not an urgent matter and to respond whenever the recipient has time."
taylor-m_all_documents_1154, 2, "The email mentions an urgent need to make products available to the market and requests approval as soon as possible today."
taylor-m_all_documents_1193, 3, "This email is an update on a legal survey and does not indicate any urgency or immediate action required."
taylor-m_all_documents_1566, 4, "This email is a casual notification about an upcoming vacation and provides contact information for assistance during the sender's absence."
taylor-m_all_documents_1658, 1, "The email explicitly mentions that the matter is urgent and requires immediate attention, with a deadline of tomorrow."
taylor-m_all_documents_1819, 3, "This email discusses incorporating agreements into a database and access for a colleague, but does not mention any urgent deadlines or immediate consequences."
taylor-m_all_documents_255, 1, "The email is marked as URGENT and requires immediate attention for the agreement and schedule."
taylor-m_all_documents_294, 1, "The email contains the word 'URGENT' and requires immediate action for the installation of a line tomorrow."
taylor-m_all_documents_3412, 2, "The email mentions that the issue is becoming quite urgent and requests assistance, implying a timely response is needed."
taylor-m_all_documents_3558, 3, "The email is a routine update on a legal survey and does not indicate urgency or immediate action required."
taylor-m_all_documents_358, 2, "The email discusses a time-sensitive decision related to a contract signing and potential legal implications."
taylor-m_all_documents_3719, 3, "The email discusses scheduling a meeting and offers multiple dates, indicating no immediate urgency."
taylor-m_all_documents_377, 1, "The email is marked as URGENT and requests availability for a conference call as soon as possible."
taylor-m_all_documents_3897, 4, "The email is a casual out-of-office reminder and provides contact information for urgent matters."
taylor-m_all_documents_3937, 1, "The email mentions an immediate revision and the need to post a ticker item on the website as soon as possible."
taylor-m_all_documents_3944, 1, "The email contains an urgent request for immediate revision and a need to post a ticker item on the website as soon as possible."
taylor-m_all_documents_60, 1, "The email contains explicit mentions of urgency and a rush situation."
taylor-m_all_documents_837, 1, "The email is marked as 'URGENT' and contains a legal survey update, which may require immediate action."
taylor-m_all_documents_862, 1, "Mentions a hurricane and the possibility of a state of emergency being declared, indicating immediate action may be required."
taylor-m_archive_1_00_32, 2, "The email mentions an urgent need to make products available to the market and requests approval as soon as possible today."
taylor-m_archive_11_99_37, 1, "Mentions a hurricane and the possibility of a state of emergency being declared, indicating immediate action may be required."
taylor-m_deleted_items_141, 1, "The email mentions an emergency situation and provides contact information for immediate assistance."
taylor-m_notes_inbox_1558, 2, "The email mentions that the issue is becoming quite urgent and assistance is greatly appreciated."
taylor-m_notes_inbox_1880, 2, "The email requests an urgent revision to a location description and needs to be addressed as soon as possible."
taylor-m_notes_inbox_351, 1, "The email mentions that the situation is 'absolutely urgent' and requires 'immediate attention' for a significant deal."
taylor-m_oslo_4, 2, "The email mentions a potential issue with US securities laws and the other party wanting to sign a contract on Tuesday, making it time-sensitive."
taylor-m_sent_1377, 4, "This email contains an itinerary for future travel and is not urgent or requiring immediate action."
taylor-m_sent_310, 2, "The email is discussing the arrangement of a conference call and requests availability as soon as possible."
taylor-m_sent_55, 1, "The email contains the word 'URGENT' and mentions that it is a rush situation."
taylor-m_sent_61, 3, "The email is a request for information on past research, but it is not urgent and can be attended to within 2-3 days."
taylor-m_sent_614, 3, "This email contains an update on a legal survey, but there is no mention of urgency or immediate action required."
taylor-m_sent_627, 4, "This email is discussing a weather event and its potential impact, but does not require immediate action or response."
taylor-m_sent_808, 3, "This email is an update on a legal survey and does not indicate any urgency or immediate action required."
taylor-m_sent_items_26, 2, "The email mentions that counterparties marked with an asterisk are the most urgent and Kim Theriot is anxious to make headway on these agreements."
taylor-m_sent_items_275, 2, "The email mentions urgency and a delayed response, requiring action to handle the agreement."
taylor-m_sent_items_446, 1, "The email is marked as 'High' importance and has a specific deadline of 2:00 p.m. Central Standard Time today, indicating an urgent need for action."
taylor-m_sent_items_70, 4, "This email is a casual conversation about bags and personal travel, not related to immediate business processes."
taylor-m_sent_items_95, 2, "The email discusses a specific issue related to a new product offering and potential regulatory implications, requesting a call at the earliest convenience."
taylor-m_time_off_44, 4, "This email is a casual update about the sender's availability and does not require immediate action."
taylor-m_uk_trading_18, 1, "The email mentions the need for immediate action and a deadline for the next day."
tholt-j_sent_items_118, 3, "The email is a request for information but not indicated as urgent."
thomas-p_deleted_items_76, 3, "This email contains routine updates on system availability and outages for the weekend, with no urgent action required."
townsend-j_deleted_items_24, 3, "This email contains routine updates on system availability and scheduled outages, with no indication of urgency."
tycholiz-b__sent_mail_29, 4, "The email is discussing a rumor and potential opportunity, but there is no urgency or deadline mentioned."
ward-k_deleted_items_151, 5, "This email is promotional material about a new product and does not require immediate attention."
ward-k_deleted_items_211, 5, "This email is promotional material and does not require a response or attention."
ward-k_deleted_items_212, 5, "This email is promotional and does not require a response or attention."
ward-k_deleted_items_334, 2, "The email mentions an approaching deadline for submitting a proposal."
ward-k_inbox_265, 5, "This email is a promotional message with no relevance to immediate work needs."
ward-k_sent_items_332, 4, "This email is a casual check-in and does not require immediate attention."
ward-k_sent_items_738, 1, "The email contains an urgent request for proposal with a due date mentioned."
watson-k_e_mail_bin_302, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
watson-k_inbox_547, 4, "This email is a casual check-in and holiday greeting, with no immediate response required."
whalley-g_all_documents_362, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
whalley-g_discussion_threads_340, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
whalley-g_inbox_305, 1, "The email mentions an urgent need for a meeting within the next 2 days to discuss capital allocation and risk, as well as issues with counterparties and liquidity."
whalley-g_notes_inbox_1, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
whalley-l_all_documents_1015, 2, "The email requests input for a farewell dinner happening tomorrow evening, making it time-sensitive but not critical to business operations."
whalley-l_discussion_threads_340, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
whalley-l_notes_inbox_475, 2, "The email requests input for a farewell dinner happening tomorrow evening, making it time-sensitive but not critical to business operations."
white-s_deleted_items_139, 3, "The email contains information about system outages and maintenance, but the events have already passed and no immediate action is required."
white-s_deleted_items_345, 1, "The email mentions the request as URGENT and requires immediate action to set up the performance books and refresh Enpower."
white-s_sent_items_310, 4, "This email is a casual out-of-office notification with no immediate action required."
white-s_sent_items_390, 4, "This email is a response to a survey question and does not require immediate action or response."
williams-w3_bill_williams_iii_144, 1, "The email contains an urgent notification about server unavailability and requires immediate action to submit schedules before the specified time."
williams-w3_bill_williams_iii_18, 1, "The email mentions an emergency situation and provides contact information for immediate assistance."
williams-w3_bill_williams_iii_19, 1, "The email mentions the closure of the building and encourages staff to dial in only for emergencies and critical business operations."
williams-w3_bill_williams_iii_20, 1, "The email mentions the possibility of difficulty facilitating markets and a decision to suspend the Day Ahead Market will be made by 1200 PST today, indicating immediate action is required."
williams-w3_bill_williams_iii_372, 3, "This email is an update on a new operating procedure and provides a link to the ISO website for reference, but does not require immediate action."
williams-w3_bill_williams_iii_383, 1, "The email contains an urgent notification about server unavailability and requires immediate action to submit schedules before the specified time."
williams-w3_bill_williams_iii_443, 1, "The email contains an urgent notification about server unavailability and requires immediate action to submit schedules before the specified time."
williams-w3_bill_williams_iii_473, 1, "The email explicitly mentions 'URGENT NOTIFICATION' and requires immediate action for submitting schedules before a specific time."
williams-w3_bill_williams_iii_489, 1, "Mentions emergency maintenance and forced out changes, requiring immediate attention."
williams-w3_bill_williams_iii_532, 1, "Mentions urgent pump repairs and requires immediate attention for operating day 7/26/01."
williams-w3_bill_williams_iii_535, 1, "The email mentions urgent pump repairs and a change in line rating status, requiring immediate attention."
williams-w3_bill_williams_iii_536, 1, "The email mentions urgent pump repairs and a change in line rating status, requiring immediate attention."
williams-w3_bill_williams_iii_740, 1, "The email mentions an urgent notice and server unavailability that will impact the team's work."
williams-w3_bill_williams_iii_770, 1, "The email discusses a potential stage I emergency and requires immediate action if it occurs."
williams-w3_bill_williams_iii_86, 1, "The email contains an urgent notification about server unavailability and requires immediate action to submit schedules and clear caches."
williams-w3_bill_williams_iii_880, 2, "The email discusses an urgent development of a web page feature to comply with a FERC order, but the response is already provided."
williams-w3_human_resources_18, 2, "The email mentions a due date of today and requires the recipients to complete a questionnaire."
williams-w3_inbox_5, 3, "This email is an update on a new operating procedure and requests forwarding to relevant departments, but does not indicate urgency or immediate action."
williams-w3_rt_strat_1, 3, "This email discusses a new transmission idea and provides a potential solution, but does not indicate an urgent need for action or response."
williams-w3_sent_items_24, 3, "This email is a request for a routine task to be performed on a specific date, but it is not urgent or time-sensitive."
williams-w3_sent_items_83, 2, "The email discusses a planned shutdown for maintenance during Thanksgiving weekend, which will affect deal entry and scheduling, and requires recipients to be aware of the situation."
williams-w3_sent_items_87, 1, "The email mentions an emergency meeting and requires the recipients to contact the sender if they cannot attend."
williams-w3_tie_meter_multipliers_5, 4, "This email is providing general information about Total Transfer Capabilities and does not require immediate action."
wolfe-j_10_saved_62, 3, "This email requests an update on emergency contact information, but does not imply an immediate deadline or urgent need."
wolfe-j_inbox_187, 3, "This email requests an update on emergency contact information, but does not indicate an urgent deadline or immediate consequences."
wolfe-j_sent_items_27, 2, "The email requests important information related to emergency contacts, but does not mention an immediate deadline."
ybarbo-p_all_documents_24, 3, "Routine business inquiry with questions about a document, no explicit urgency mentioned."
ybarbo-p_discussion_threads_22, 3, "The email contains questions about a document, but there is no mention of urgency or deadlines."
ybarbo-p_eco___cond__of_use_11, 3, "Routine business inquiry with questions about a document, no explicit urgency mentioned."
zufferli-j_deleted_items_112, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
